group,x,y,size,year,highlight,label_y,label_anchor
"Science, research, engineering and technology professionals",-0.6,21.35,1426,2020,0,,
"Science, research, engineering and technology professionals",1.5,21.48,1388,2019,0,,
Secretarial and related occupations,4.4,11.29,539,2022,0,,
Secretarial and related occupations,4.1,10.78,587,2021,0,,
Secretarial and related occupations,0.9,10.36,558,2020,0,,
Secretarial and related occupations,2.7,10.27,601,2019,0,,
Skilled agricultural and related trades,6.1,11.54,107,2022,0,,
Skilled agricultural and related trades,3.7,10.8,100,2021,0,,
Skilled agricultural and related trades,2.6,10.42,104,2020,0,,
Skilled agricultural and related trades,4.4,10.15,103,2019,0,,
Skilled construction and building trades,5.1,14.5,289,2022,0,,
Skilled construction and building trades,8.6,13.7,300,2021,0,,
Skilled construction and building trades,-5.1,12.62,296,2020,0,,
Skilled construction and building trades,2.8,13.29,304,2019,0,,
"Skilled metal, electrical and electronic trades",6.7,15.47,928,2022,1,middle,end
"Skilled metal, electrical and electronic trades",5.5,14.62,879,2021,1,top,end
"Skilled metal, electrical and electronic trades",-3.6,13.86,930,2020,1,top,start
"Skilled metal, electrical and electronic trades",2.7,14.37,999,2019,1,top,end
Teaching and educational professionals,2.5,24.5,1769,2022,1,bottom,start
Teaching and educational professionals,2.7,24.17,1728,2021,1,top,start
Teaching and educational professionals,1.6,23.53,1626,2020,1,top,start
Teaching and educational professionals,2.1,23.16,1536,2019,1,top,start
"Textiles, printing and other skilled trades",11.8,11,406,2022,0,,
"Textiles, printing and other skilled trades",1.3,9.84,425,2021,0,,
"Textiles, printing and other skilled trades",-1.8,9.71,429,2020,0,,
"Textiles, printing and other skilled trades",5,9.88,511,2019,0,,
Transport and mobile machine drivers and operatives,9,12.75,743,2022,0,,
Transport and mobile machine drivers and operatives,6.3,11.69,695,2021,0,,
Transport and mobile machine drivers and operatives,-2,11,692,2020,0,,
Transport and mobile machine drivers and operatives,3.9,11.23,794,2019,0,,
