group,x,y,size,year,highlight,label_y,label_anchor
Administrative occupations,4.7,12.92,2516,2022,0,,
Administrative occupations,3.4,12.3,2576,2021,0,,
Administrative occupations,1.4,11.9,2291,2020,0,,
Administrative occupations,3.2,11.74,2426,2019,0,,
Business and public service associate professionals,2.6,17.07,1981,2022,0,,
Business and public service associate professionals,3.3,17.17,2379,2021,0,,
Business and public service associate professionals,-2.8,16.63,2269,2020,0,,
Business and public service associate professionals,1.9,17.1,2232,2019,0,,
"Business, media and public service professionals",2.7,21.65,2154,2022,0,,
"Business, media and public service professionals",3.5,21.63,1668,2021,0,,
"Business, media and public service professionals",1.4,20.91,1566,2020,0,,
"Business, media and public service professionals",3.4,20.63,1516,2019,0,,
Caring personal service occupations,7,11.16,1809,2022,0,,
Caring personal service occupations,2.8,10.43,2205,2021,0,,
Caring personal service occupations,2.9,10.14,2057,2020,0,,
Caring personal service occupations,5.7,9.85,2101,2019,0,,
Community and civil enforcement occupations,4.4,13.24,27,2022,0,,
"Culture, media and sports occupations",6.4,14.06,235,2022,0,,
"Culture, media and sports occupations",0,13.29,260,2021,0,,
"Culture, media and sports occupations",-2.9,13.29,274,2020,0,,
"Culture, media and sports occupations",0.2,13.68,265,2019,0,,
Customer service occupations,8.6,11.37,500,2022,0,,
Customer service occupations,1.7,10.62,538,2021,0,,
Customer service occupations,0.2,10.44,565,2020,0,,
Customer service occupations,0.8,10.42,560,2019,0,,
Directors,4.3,24.47,2203,2022,1,top,start
Directors,0.3,22.82,2333,2021,1,bottom,start
Directors,-1,22.76,2395,2020,1,bottom,start
Directors,1.7,23,2395,2019,1,bottom,start
Elementary administration and service occupations,6.5,10.12,2523,2022,0,,
Elementary administration and service occupations,3.5,9.5,2321,2021,0,,
Elementary administration and service occupations,3.5,9.18,2082,2020,0,,
Elementary administration and service occupations,5.5,8.86,2573,2019,0,,
Elementary trades and related occupations,7.8,10.81,300,2022,0,,
Elementary trades and related occupations,3.3,10.07,356,2021,0,,
Elementary trades and related occupations,2.2,9.75,326,2020,0,,
Elementary trades and related occupations,3.7,9.54,353,2019,0,,
Health and social care associate professionals,4.1,12.87,600,2022,0,,
Health and social care associate professionals,2.2,13.5,474,2021,0,,
Health and social care associate professionals,0.6,13.21,433,2020,0,,
Health and social care associate professionals,2,13.13,386,2019,0,,
Health professionals,2.6,20.64,1844,2022,0,,
Health professionals,1.9,20.03,1651,2021,0,,
Health professionals,1,19.66,1628,2020,0,,
Health professionals,6.1,19.46,1605,2019,0,,
"Leisure, travel and related personal service occupations",6.9,10.69,371,2022,0,,
"Leisure, travel and related personal service occupations",3.8,10,338,2021,0,,
"Leisure, travel and related personal service occupations",0.6,9.63,366,2020,0,,
"Leisure, travel and related personal service occupations",6.1,9.57,422,2019,0,,
Other managers and proprietors,6.5,16.01,539,2022,0,,
Other managers and proprietors,0.7,14.96,477,2021,0,,
Other managers and proprietors,0.1,14.86,450,2020,0,,
Other managers and proprietors,4.8,14.84,450,2019,0,,
"Process, plant and machine operatives",8.7,12.17,696,2022,0,,
"Process, plant and machine operatives",4.2,11.27,632,2021,0,,
"Process, plant and machine operatives",0,10.81,648,2020,0,,
"Process, plant and machine operatives",3.1,10.82,705,2019,0,,
Protective service occupations,0,19.71,447,2022,1,bottom,
Protective service occupations,2.3,19.67,366,2021,1,bottom,
Protective service occupations,2.9,19.23,340,2020,1,bottom,
Protective service occupations,0.6,18.68,312,2019,1,bottom,
Sales occupations,4.2,10.19,1322,2022,0,,
Sales occupations,5.4,9.81,1435,2021,0,,
Sales occupations,4.9,9.31,1415,2020,0,,
Sales occupations,5,8.87,1454,2019,0,,
"Science, engineering and technology associate professionals",4,14.9,808,2022,0,,
"Science, engineering and technology associate professionals",0.5,14.37,775,2021,0,,
"Science, engineering and technology associate professionals",-0.5,14.3,746,2020,0,,
"Science, engineering and technology associate professionals",2,14.37,714,2019,0,,
"Science, research, engineering and technology professionals",3.6,22.41,1844,2022,0,,
"Science, research, engineering and technology professionals",3,21.99,1589,2021,0,,
