age,femaleBar,maleBar
<1,449,469
1,458,496
2,510,536
3,476,510
4,518,559
5,551,558
6,505,527
7,528,569
8,561,611
9,592,580
10,564,604
11,596,642
12,579,609
13,568,622
14,563,574
15,571,597
16,554,537
17,542,543
18,425,502
19,431,478
20,495,487
21,514,500
22,563,502
23,535,464
24,515,537
25,554,510
26,548,529
27,601,513
28,579,527
29,606,529
30,629,566
31,617,512
32,612,565
33,646,539
34,647,553
35,574,532
36,600,539
37,560,520
38,565,492
39,583,498
40,555,516
41,581,529
42,499,500
43,501,447
44,502,435
45,501,519
46,492,452
47,560,498
48,546,595
49,633,622
50,680,629
51,664,589
52,698,610
53,705,646
54,709,648
55,759,677
56,719,731
57,753,680
58,730,681
59,740,662
60,691,693
61,633,633
62,650,627
63,590,596
64,575,609
65,572,548
66,542,511
67,489,521
68,561,482
69,507,513
70,491,466
71,534,496
72,545,472
73,543,524
74,523,491
75,371,391
76,372,347
77,341,275
78,345,221
79,322,236
80,274,229
81,302,213
82,281,215
83,310,199
84,273,168
85,209,169
86,219,122
87,166,122
88,168,101
89,135,81
90+,511,217
