group,areacd,areanm,value
East Midlands,E02002796,Allestree North,0.73987101
East Midlands,E02002797,Allestree South,0.737258108
East Midlands,E02002798,Oakwood,0.746524511
East Midlands,E02002799,Breadsall Hilltop,0.617089139
East Midlands,E02002800,Darley Abbey,0.668032787
East Midlands,E02002801,Chaddesden North,0.659708283
East Midlands,E02002802,Chaddesden West,0.566775244
East Midlands,E02002803,Little Chester,0.475684608
East Midlands,E02002804,Mackworth,0.610684398
East Midlands,E02002805,Spondon North,0.765510949
East Midlands,E02002806,New Zealand,0.461465721
East Midlands,E02002807,Chaddesden Park,0.664553314
East Midlands,E02002808,Cathedral Quarter & California,0.433057598
East Midlands,E02002809,Spondon South,0.703337824
East Midlands,E02002810,Mickleover North,0.736717268
East Midlands,E02002811,New Normanton,0.374481602
East Midlands,E02002812,Littleover East,0.652673267
East Midlands,E02002813,Rose Hill & Castleward,0.3787866
East Midlands,E02002814,Mickleover South,0.765857143
East Midlands,E02002815,Normanton North & Peartree,0.387188531
East Midlands,E02002816,Littleover West & Heatherton,0.620435652
East Midlands,E02002817,Normanton West,0.64906932
East Midlands,E02002818,Normanton South,0.420059811
East Midlands,E02002819,Wilmorton & Alvaston Village,0.582260913
East Midlands,E02002820,Alvaston & Crewton,0.56273215
East Midlands,E02002821,Allenton & Osmaston,0.453423305
East Midlands,E02002822,Sunny Hill,0.618731118
East Midlands,E02002823,Boulton,0.663441886
East Midlands,E02002824,Sinfin,0.552241855
East Midlands,E02002825,Chellaston West & Shelton Lock,0.646386946
East Midlands,E02002826,Chellaston East,0.654818668
East Midlands,E02002827,Beaumont Park,0.554058339
East Midlands,E02002828,Rushey Mead North,0.666235279
East Midlands,E02002829,Stocking Farm & Mowmacre,0.487772461
East Midlands,E02002830,Bradgate Heights & Beaumont Leys,0.516122631
East Midlands,E02002831,Rushey Mead South,0.633866941
East Midlands,E02002832,Belgrave North West,0.661753467
East Midlands,E02002833,Belgrave North East,0.620983213
East Midlands,E02002834,Abbey Park,0.548418621
East Midlands,E02002835,Hamilton & Humberstone,0.522406725
East Midlands,E02002836,Belgrave South,0.672357809
East Midlands,E02002837,Northfields & Merrydale,0.522472573
East Midlands,E02002838,New Parks & Stokeswood,0.510995155
East Midlands,E02002839,Colchester Road,0.593539362
East Midlands,E02002842,Newfoundpool,0.398602213
East Midlands,E02002843,Spinney Hill Road,0.520056398
East Midlands,E02002844,St Matthews & Highfields North,0.491054533
East Midlands,E02002845,North Evington & Rowlatts Hill,0.519149328
East Midlands,E02002846,Dane Hills & Western Park,0.645044037
East Midlands,E02002847,Crown Hills,0.559196723
East Midlands,E02002848,Highfields South,0.480489535
East Midlands,E02002849,West End & Westcotes,0.331320396
East Midlands,E02002851,Evington,0.643904785
East Midlands,E02002852,Braunstone Park West,0.474097331
East Midlands,E02002853,Stoneygate North,0.515658094
East Midlands,E02002854,Braunstone Park East,0.508527882
East Midlands,E02002855,Rowley Fields & Faircharm,0.445599703
East Midlands,E02002856,Clarendon Park & Stoneygate South,0.547281825
East Midlands,E02002857,Aylestone North & Saffron Fields,0.503856041
East Midlands,E02002858,Knighton,0.688664486
East Midlands,E02002860,Aylestone South,0.621008616
East Midlands,E02002861,Saffron Lane,0.505101365
East Midlands,E02002862,Eyres Monsell,0.560523039
East Midlands,E02006815,Thurnby Lodge,0.550363448
East Midlands,E02006817,West Knighton,0.522655188
East Midlands,E02006819,Kirby Frith,0.515981735
East Midlands,E02006850,Leicester City South,0.250312431
East Midlands,E02006851,Leicester City Centre,0.212613391
East Midlands,E02002863,"Market Overton, Cottesmore & Empingham",0.600127714
East Midlands,E02002864,"Oakham West, Langham & Whissendine",0.663462739
East Midlands,E02002865,Oakham East,0.650793651
East Midlands,E02002866,"Ketton, Ryhall & Luffenham",0.658370448
East Midlands,E02002867,"Uppingham, Lyddington & Braunston",0.645680308
East Midlands,E02002868,Rise Park & Top Valley West,0.633530641
East Midlands,E02002869,Bulwell North,0.481796439
East Midlands,E02002871,Highbury Vale,0.581380293
East Midlands,E02002872,Bulwell West,0.49476678
East Midlands,E02002873,Bestwood,0.449805529
East Midlands,E02002874,North Sherwood,0.539936878
East Midlands,E02002875,Basford Park Lane,0.461001976
East Midlands,E02002876,Old Basford,0.50464775
East Midlands,E02002877,Sherwood Vale,0.597283312
East Midlands,E02002878,Broxtowe & Cinderhill,0.358428469
East Midlands,E02002879,New Basford,0.457550559
East Midlands,E02002880,Aspley,0.397438728
East Midlands,E02002881,Bilborough North,0.484919132
East Midlands,E02002882,Mapperley Park,0.504831762
East Midlands,E02002883,Thorneywood,0.465853352
East Midlands,E02002884,Forest Fields,0.381601607
East Midlands,E02002885,Hyson Green,0.31326087
East Midlands,E02002886,Bobbers Mill,0.498720442
East Midlands,E02002887,Beechdale,0.573446757
East Midlands,E02002888,St Ann's East,0.452289824
East Midlands,E02002889,"Arboretum, Forest & Trent University",0.15952381
East Midlands,E02002890,St Ann's West,0.236630247
East Midlands,E02002891,Bakersfield,0.538583639
East Midlands,E02002892,Bilborough South,0.535726045
East Midlands,E02002893,Radford,0.240357742
East Midlands,E02002894,Wollaton Park,0.61856696
East Midlands,E02002895,The Park & Castle,0.37165205
East Midlands,E02002896,Sneinton,0.38891494
East Midlands,E02002897,Wollaton Vale,0.604673926
East Midlands,E02002898,Lenton & Dunkirk,0.30309694
East Midlands,E02002899,"University Park, Lenton Abbey & Jubilee Campus",0.316544151
East Midlands,E02002901,Wilford & Silverdale,0.629965948
East Midlands,E02002902,Clifton North,0.484890999
East Midlands,E02002903,Clifton West,0.562740693
East Midlands,E02002904,Clifton South,0.57945319
East Midlands,E02006834,Top Valley East,0.512395599
East Midlands,E02006904,City Centre & Trent Bridge,0.230606258
East Midlands,E02006905,Meadows,0.428039065
East Midlands,E02004029,Alfreton,0.635398738
East Midlands,E02004030,"Crich, Holloway & Wingfield",0.737331081
East Midlands,E02004031,Somercotes & Pye Bridge,0.529940499
East Midlands,E02004032,Swanwick & Leabrooks,0.679915829
East Midlands,E02004033,"Ripley East, Riddings & Ironville",0.621762232
East Midlands,E02004034,Ripley West,0.660243269
East Midlands,E02004035,"Ambergate, Heage & Idridgehay",0.704651513
East Midlands,E02004036,Ripley South & Loscoe,0.617878381
East Midlands,E02004037,Belper Far Laund,0.686970404
East Midlands,E02004038,Belper Town,0.686316859
East Midlands,E02004039,Openwoodgate & Holbrook,0.665763213
East Midlands,E02004040,Heanor Gate & Aldercar,0.601785529
East Midlands,E02004041,Heanor East & Langley Mill,0.588480689
East Midlands,E02004043,Kilburn & Horsley,0.686142221
East Midlands,E02004044,"Duffield, Quarndon & Kirk Langley",0.714713332
East Midlands,E02006827,Heanor South & Shipley Park,0.556736712
East Midlands,E02004045,Clowne & Barlborough,0.70584031
East Midlands,E02004046,Whitwell & Elmton,0.69145394
East Midlands,E02004047,Creswell & Hodthorpe,0.559281627
East Midlands,E02004048,Bolsover North & Shuttlewood,0.621952979
East Midlands,E02004049,Bolsover South & Glapwell,0.684860968
East Midlands,E02004050,Shirebrook North,0.543494801
East Midlands,E02004051,"Langwith, Shirebrook South & Pleasley",0.562148842
East Midlands,E02004052,"Tibshelf, Newton & Hardwick Park",0.664274791
East Midlands,E02004053,South Normanton West,0.600330201
East Midlands,E02004054,South Normanton Broadmeadows & Pinxton,0.648421982
East Midlands,E02004055,Old Whittington,0.662491301
East Midlands,E02004056,Staveley & Norbriggs,0.621529531
East Midlands,E02004057,"New Whittington, Hollingwood & Barrow Hill",0.633409495
East Midlands,E02004058,Dunston,0.658850812
East Midlands,E02004059,Brimington South & Tapton,0.745949721
East Midlands,E02004060,Inkersall Green & Duckmanton,0.669900367
East Midlands,E02004061,Newbold,0.682808399
East Midlands,E02004062,Loundsley Green & Holme Hall,0.701913265
East Midlands,E02004063,Ashgate & Brockwell,0.722061596
East Midlands,E02004064,Central Chesterfield & Stonegravels,0.595881196
East Midlands,E02004065,Brookside & Walton,0.784475335
East Midlands,E02004066,Spital & Hasland,0.693175943
East Midlands,E02004067,Boythorpe & Birdholme,0.616183206
East Midlands,E02004068,"Hathersage, Bradwell & Tideswell",0.721271394
East Midlands,E02004069,"Bakewell North, Baslow & Calver",0.767309516
East Midlands,E02004070,"Bakewell South, Youlgreave and Taddington",0.707411594
East Midlands,E02004071,Darley Dale & Stanton,0.697753032
East Midlands,E02004072,Matlock North,0.727028479
East Midlands,E02004073,"Matlock South, Cromford & Winster",0.658435766
East Midlands,E02004074,Wirksworth,0.663125204
East Midlands,E02004075,"Ashbourne North, Dovedale & Carsington",0.705197505
East Midlands,E02004076,Ashbourne South,0.620448744
East Midlands,E02004077,"Doveridge, Brailsford & Bradley",0.686156492
East Midlands,E02004078,Cotmanhay,0.546785664
East Midlands,E02004080,Ilkeston Town,0.569248105
East Midlands,E02004081,"Breadsall, Little Eaton & Stanley Common",0.684060403
East Midlands,E02004082,West Hallam,0.690970546
East Midlands,E02004083,Hallam Fields & Greenwood Ave,0.567597355
East Midlands,E02004084,Kirk Hallam,0.584923973
East Midlands,E02004085,Sandiacre & Stanton,0.605737525
East Midlands,E02004086,Borrowash & Ockbrook,0.704409363
East Midlands,E02004087,Long Eaton North,0.589315103
East Midlands,E02004088,Long Eaton West,0.659566277
East Midlands,E02004089,Long Eaton Town,0.519536104
East Midlands,E02004090,Breaston & Draycott,0.674642685
East Midlands,E02004091,Long Eaton South,0.638483655
East Midlands,E02004092,Sawley,0.594439408
East Midlands,E02006828,Shipley,0.61822343
East Midlands,E02004093,Hadfield East & Tintwistle,0.641868512
East Midlands,E02004094,Hadfield West & Gamesley,0.574667391
East Midlands,E02004095,Glossop,0.649425851
East Midlands,E02004096,"Dinting, Simmondley & Charlesworth",0.713264989
East Midlands,E02004097,New Mills West & Furness Vale,0.686259542
East Midlands,E02004098,New Mills East & Hayfield,0.718965043
East Midlands,E02004100,Whaley Bridge & Chinley,0.752552628
East Midlands,E02004102,Buxton North,0.604871128
East Midlands,E02004103,Buxton South & East,0.569432802
East Midlands,E02004104,Buxton Burbage & Harpur Hill,0.660837739
East Midlands,E02006872,Chapel-en-le-Frith & Hope Valley,0.702851886
East Midlands,E02004105,Killamarsh,0.679684211
East Midlands,E02004106,Eckington West & Coal Aston,0.760189714
East Midlands,E02004108,Dronfield Town & Unstone,0.690892243
