group,areacd,areanm,value
East Midlands,E02004109,Dronfield Woodhouse & Holmesfield,0.762848205
East Midlands,E02004110,Dronfield South & Gosforth Lane,0.751253218
East Midlands,E02004111,Arkwright Town & Temple Normanton,0.709186352
East Midlands,E02004112,Wingerworth & Holymoorside,0.767197403
East Midlands,E02004113,Grassmoor & Holmewood,0.613065327
East Midlands,E02004114,Ashover & New Tupton,0.754096246
East Midlands,E02004115,North Wingfield & Pilsley,0.647542758
East Midlands,E02004116,Clay Cross,0.647375505
East Midlands,E02004117,"Stonebroom, Shirland & Wessington",0.684940219
East Midlands,E02006804,Eckington East & Renishaw,0.633369009
East Midlands,E02004118,Hatton & Burnaston,0.713033954
East Midlands,E02004119,Hilton & Etwall,0.648520217
East Midlands,E02004120,"Willington North, Findern & Stenson Fields",0.694352493
East Midlands,E02004121,Aston-on-Trent & Barrow-upon-Trent,0.73482047
East Midlands,E02004122,Willington South & Repton,0.659396686
East Midlands,E02004123,"Melbourne, Ticknall & Hartshorne",0.705455601
East Midlands,E02004124,Swadlincote North,0.629351014
East Midlands,E02004125,Swadlincote West,0.596861472
East Midlands,E02004126,Swadlincote Central,0.660821844
East Midlands,E02004128,"Castle Gresley, Overseal & Coton",0.665678151
East Midlands,E02006919,Swadlincote South,0.545142651
East Midlands,E02006920,Swadlincote East,0.556412053
East Midlands,E02005334,Leicester Forest East,0.612770847
East Midlands,E02005335,Kirby Muxloe & Thurlaston,0.696282121
East Midlands,E02005336,Thorpe Astley,0.541677834
East Midlands,E02005337,Braunstone Town,0.604798233
East Midlands,E02005338,Enderby & Glen Parva,0.651107231
East Midlands,E02005339,Narborough,0.658598432
East Midlands,E02005340,Blaby Village,0.673739755
East Midlands,E02005341,Whetstone,0.625047923
East Midlands,E02005342,"Cosby, Croft & Elmesthorpe",0.671485612
East Midlands,E02005343,Countesthorpe & Kilby,0.721451717
East Midlands,E02005344,"Stoney Stanton, Sapcote & Sharnford",0.644892841
East Midlands,E02006820,Glenfield,0.684126537
East Midlands,E02005345,Loughborough Dishley & Hathern,0.614354499
East Midlands,E02005346,Loughborough Lemyngton & Hastings,0.454787639
East Midlands,E02005347,Loughborough Storer & Queen's Park,0.321862528
East Midlands,E02005348,Loughborough Garendon,0.65649259
East Midlands,E02005349,Shepshed West,0.654811435
East Midlands,E02005350,Shepshed East,0.674182809
East Midlands,E02005351,Loughborough - University,0.284263166
East Midlands,E02005352,"Wymeswold, Rearsby & Cossington",0.659175449
East Midlands,E02005353,Loughborough - Shelthorpe & Woodthorpe,0.522824272
East Midlands,E02005354,Loughborough - Outwoods,0.62235796
East Midlands,E02005355,Barrow upon Soar,0.667975626
East Midlands,E02005356,Quorn & Mountsorrel Castle,0.677283817
East Midlands,E02005357,Sileby,0.594255569
East Midlands,E02005358,Mountsorrel & Rothley,0.644461591
East Midlands,E02005359,East Goscote & Queniborough,0.679595278
East Midlands,E02005360,"Thurcaston, Woodhouse & Bradgate",0.663628213
East Midlands,E02005361,Syston West,0.610773112
East Midlands,E02005362,Syston East,0.614308768
East Midlands,E02005363,Birstall Wanlip & Riverside,0.638996139
East Midlands,E02005364,Birstall Central,0.630142109
East Midlands,E02005365,Thurmaston,0.60130528
East Midlands,E02005366,Anstey,0.64579655
East Midlands,E02005368,"Tilton, Billesdon & Great Easton",0.686771654
East Midlands,E02005369,Kibworth & Great Glen,0.651955123
East Midlands,E02005370,Broughton Astley,0.640672451
East Midlands,E02005371,"Fleckney, Kilworth & Foxton",0.671868904
East Midlands,E02005372,"Dunton Bassett, Claybrooke & Swinford",0.688963895
East Midlands,E02005373,"Market Harborough West, Great Bowden & Lubenham",0.680193237
East Midlands,E02005374,Market Harborough Central,0.566177539
East Midlands,E02005375,Market Harborough South & Little Bowden,0.608084359
East Midlands,E02005376,Lutterworth,0.6451054
East Midlands,E02006816,"Houghton, Thurby & Scraptoft",0.698427024
East Midlands,E02005377,Markfield & Thornton,0.664582149
East Midlands,E02005378,Groby East,0.673148841
East Midlands,E02005379,Groby West & Ratby,0.647226174
East Midlands,E02005380,"Market Bosworth, Barlestone & Sheepy Magna",0.667709148
East Midlands,E02005381,Desford & Newbold Verdon,0.682481333
East Midlands,E02005382,Earl Shilton,0.585217871
East Midlands,E02005383,Barwell,0.618856895
East Midlands,E02005384,"Stoke Golding, Higham & Fenny Drayton",0.665135135
East Midlands,E02005385,Hinckley East,0.671858134
East Midlands,E02005386,Hinckley Central,0.572978959
East Midlands,E02005387,Hinckley West,0.576000793
East Midlands,E02005388,Hinckley Clarendon Park,0.586223742
East Midlands,E02005389,Burbage St Catherines,0.668425532
East Midlands,E02005390,Burbage Sketchley & Stretton,0.689431553
East Midlands,E02005391,"Bottesford, Harby & Croxton Kerrial",0.702261048
East Midlands,E02005392,Melton Mowbray North,0.639490166
East Midlands,E02005393,"Asfordby, Frisby & Old Dalby",0.686331939
East Midlands,E02005394,Melton Mowbray West,0.553348351
East Midlands,E02005395,Melton Mowbray South,0.617630353
East Midlands,E02005396,"Waltham, Wymondham & Great Dalby",0.731284832
East Midlands,E02005397,Castle Donington,0.654490107
East Midlands,E02005398,Kegworth & Belton,0.60908268
East Midlands,E02005399,Ashby de la Zouch North,0.612254902
East Midlands,E02005400,Thringstone & Swannington,0.664213589
East Midlands,E02005401,"Packington, Ravenstone & Coleorton",0.666614737
East Midlands,E02005402,Ashby de la Zouch South,0.67593423
East Midlands,E02005403,Whitwick,0.63767693
East Midlands,E02005404,Donisthope & Blackfordby,0.648402367
East Midlands,E02005405,Agar Nook,0.616754523
East Midlands,E02005406,Coalville,0.522977267
East Midlands,E02005407,Hugglescote & Bardon Hill,0.606036925
East Midlands,E02005408,Measham & Appleby Magna,0.622711991
East Midlands,E02005409,Ibstock & Ellistown,0.615746576
East Midlands,E02005412,Oadby South & West,0.643659711
East Midlands,E02005414,Wigston Town,0.624846851
East Midlands,E02005415,South Wigston,0.598634389
East Midlands,E02005416,Wigston Harcourt & Little Hill,0.727423954
East Midlands,E02006818,Wigston North,0.664716636
East Midlands,E02006911,Oadby North & East,0.621287609
East Midlands,E02005417,Leake & Butterwick,0.728976968
East Midlands,E02005418,Fenside & Lister Way,0.382206161
East Midlands,E02005419,Boston Central & North,0.419259096
East Midlands,E02005420,Skirbeck,0.524971751
East Midlands,E02005422,"Swineshead, Bicker & Holland Fen",0.709811441
East Midlands,E02005423,"Kirton, Frampton & Algarkirk",0.634953566
East Midlands,E02006864,Fishtoft & Wyberton East,0.628120283
East Midlands,E02006865,Wyberton West & Fen,0.623971509
East Midlands,E02005424,"Holton-le-Clay, Binbrook & Tetney",0.698509219
East Midlands,E02005425,"Marshchapel, Somercotes & Grimoldby",0.714817111
East Midlands,E02005426,Louth North & East,0.634460704
East Midlands,E02005427,Louth Central & South,0.658161827
East Midlands,E02005428,Mablethorpe,0.765918739
East Midlands,E02005429,Sutton-on-Sea,0.791556728
East Midlands,E02005430,"Wragby, Roughton & Ludford",0.70913159
East Midlands,E02005431,"Alford, Withern & Willoughby",0.720895522
East Midlands,E02005432,Little Cawthorpe & South Wolds,0.738107616
East Midlands,E02005433,Ingoldmells & Chapel St Leonards,0.779866154
East Midlands,E02005434,Horncastle,0.681799702
East Midlands,E02005435,Skegness North,0.762508521
East Midlands,E02005436,Spilsby & Burgh le Marsh,0.711397954
East Midlands,E02005437,Skegness Town,0.678883658
East Midlands,E02005438,Skegness South,0.659787986
East Midlands,E02005439,Coningsby & Woodhall Spa,0.657835035
East Midlands,E02005440,Wainfleet All Saints,0.708317998
East Midlands,E02005441,"Mareham, Sibsey & New Leake",0.697521614
East Midlands,E02005442,Ermine,0.560752249
East Midlands,E02005443,Glebe Park,0.600824742
East Midlands,E02005444,Cathedral & West Common,0.590396864
East Midlands,E02005445,"Monks Road, St Giles & Greetwell",0.448942648
East Midlands,E02005446,Wharf & University,0.274958934
East Midlands,E02005447,Pelham Bridge & South Common,0.380166381
East Midlands,E02005448,Birchwood West,0.547595544
East Midlands,E02005449,Boultham & New Boultham,0.444624178
East Midlands,E02005450,Hartsholme & Birchwood East,0.692432974
East Midlands,E02005451,Bracebridge North & Boultham Moor,0.553874014
East Midlands,E02005452,Bracebridge South & Swallow Beck,0.665565951
East Midlands,E02005453,Washingborough & Branston,0.687006982
East Midlands,E02005455,"Skellingthorpe, Witham & Bassingham",0.6490449
East Midlands,E02005456,Bracebridge Heath & Waddington,0.673145877
East Midlands,E02005457,"Metheringham, Nocton & Potterhanworth",0.6766488
East Midlands,E02005458,"Navenby, Harmston & Brant Broughton",0.719175077
East Midlands,E02005459,Ruskington North & Billinghay,0.684785189
East Midlands,E02005460,Ruskington West & Cranwell,0.60390109
East Midlands,E02005461,"Ruskington South, Leasingham & Osbournby",0.767308611
East Midlands,E02005462,Sleaford East,0.615305809
East Midlands,E02005463,Sleaford West,0.637061291
East Midlands,E02005464,Heckington,0.720144894
East Midlands,E02006866,North Hykeham South,0.629725592
East Midlands,E02006867,North Hykeham North,0.683970047
East Midlands,E02005465,"Donington, Quadring & Gosberton",0.700105103
East Midlands,E02005466,"Long Sutton West, Gedney & Holbeach Hurn",0.677337322
East Midlands,E02005467,Holbeach,0.645907709
East Midlands,E02005468,"Moulton, Weston & Whaplode",0.675324675
East Midlands,E02005469,Pinchbeck & Deeping St Nicholas,0.62610317
East Midlands,E02005470,Spalding North,0.49704732
East Midlands,E02005471,Spalding East,0.510314542
East Midlands,E02005472,Long Sutton East & Sutton Bridge,0.650623163
East Midlands,E02005473,Spalding South West,0.530300078
East Midlands,E02005474,Fleet Hargate & Holbeach St Johns,0.723538937
East Midlands,E02005475,Crowland & Cowbit,0.659442724
East Midlands,E02005476,"Ancaster, Caythorpe & Claypole",0.731024931
East Midlands,E02005477,"Long Bennington, Allington & Barrowby",0.733977173
East Midlands,E02005478,Grantham North East,0.670058432
East Midlands,E02005479,Grantham North West,0.705252918
East Midlands,E02005480,Grantham South West,0.523834468
East Midlands,E02005481,Grantham South East,0.564757013
East Midlands,E02005482,"Corby Glen, Ropsley & Grantham Outskirts",0.699596983
East Midlands,E02005483,Morton & Billingborough,0.695789208
East Midlands,E02005484,"Harlaxton, Colsterworth & South Witham",0.689640827
East Midlands,E02005485,Bourne West,0.680916234
East Midlands,E02005486,Bourne East,0.598815238
East Midlands,E02005487,"Langtoft, Thurlby & Uffington",0.705260999
East Midlands,E02005488,Market Deeping,0.680451128
East Midlands,E02005489,Deeping St James & Frognall,0.669959649
East Midlands,E02005490,Stamford North,0.60401615
East Midlands,E02005491,"Stamford Central, West and South",0.632820148
East Midlands,E02005492,"Caistor, Kelsey & Keelby",0.698297087
East Midlands,E02005493,"Morton, Blyton & Scotter",0.678036278
East Midlands,E02005494,Market Rasen & Brookenby,0.649045088
East Midlands,E02005495,Gainsborough West,0.572552693
East Midlands,E02005496,Hemswell & Spital,0.679552079
East Midlands,E02005497,Gainsborough East,0.546206721
East Midlands,E02005498,Torksey & Stow,0.740410589
East Midlands,E02005499,Dunholme & Welton,0.689520426
East Midlands,E02005500,Saxilby & Scampton,0.684304074
East Midlands,E02005501,"Nettleham, Sudbrooke & Scothern",0.724455826
East Midlands,E02005502,Cherry Willingham & Bardney,0.694392329
East Midlands,E02005612,"Rowlett, Gretton & Cottingham",0.57228751
East Midlands,E02005613,Corby North,0.503449008
East Midlands,E02005614,Corby Village & Weldon,0.560964676
East Midlands,E02005615,Corby Lodge Park,0.547310648
East Midlands,E02005616,Corby Town,0.494999123
East Midlands,E02005617,Corby Kingswood,0.454512038
East Midlands,E02006862,Great Oakley and Danesholme,0.56762988
East Midlands,E02006863,Snatchill,0.416460498
East Midlands,E02005619,"Clipston, Naseby & Yelvertoft",0.705997075
East Midlands,E02005620,Broxworth & Spratton,0.618510662
East Midlands,E02005621,Braunston & Crick,0.676944004
East Midlands,E02005622,Long Buckby East & Ravensthorpe,0.684710351
East Midlands,E02005623,Walgrave & Moulton,0.731164209
East Midlands,E02005624,Daventry North,0.546065782
East Midlands,E02005625,Daventry Central,0.547461369
East Midlands,E02005626,Daventry South & Southbrook,0.484848485
East Midlands,E02005627,Long Buckby West & Weedon,0.687466595
East Midlands,E02005628,"Woodforth Halse, Byfield & Staverton",0.678607724
East Midlands,E02005629,"King's Cliffe, Woodnewton & Easton",0.672217899
East Midlands,E02005630,"Oundle, Warmington & Titchmarsh",0.604100056
East Midlands,E02005631,Thrapston & Brigstock,0.638789365
East Midlands,E02005632,"Ringstead, Woodford & Stanwick",0.648371532
East Midlands,E02005633,Raunds,0.607528642
East Midlands,E02005634,Irthlingborough,0.587599058
East Midlands,E02005635,Higham Ferrers,0.623269851
East Midlands,E02005636,Rushden West & North,0.598332516
East Midlands,E02005637,Rushden East,0.552521884
East Midlands,E02005638,Rushden South,0.6405521
East Midlands,E02005639,"Geddington, Rushton & Stoke Albany",0.748588121
East Midlands,E02005640,Desborough,0.614670139
East Midlands,E02005641,Rothwell,0.6156094
East Midlands,E02005642,Kettering Brambleside,0.647230676
East Midlands,E02005643,Kettering Avondale Grange,0.505307856
East Midlands,E02005644,Kettering Central East,0.450755089
East Midlands,E02005645,Kettering Town & West,0.578870259
East Midlands,E02005646,Kettering East,0.650239456
East Midlands,E02005647,Kettering South,0.56499156
East Midlands,E02005648,Barton Seagrave,0.696618586
East Midlands,E02005649,"Burton Latimer, Broughton & Mawsley",0.63209357
East Midlands,E02005650,Boughton,0.557642388
East Midlands,E02005651,Moulton,0.726372335
East Midlands,E02005652,Sunnyside,0.701373945
East Midlands,E02005653,Thorplands & Round Spinney,0.455611587
East Midlands,E02005654,Overstone Lodge & Rectory Farm,0.480555556
East Midlands,E02005655,Boothville & Spinney Hill,0.669201521
East Midlands,E02005656,Blackthorn & Lings,0.486046512
East Midlands,E02005657,Kingsthorpe,0.659432387
East Midlands,E02005658,St David's,0.454699799
East Midlands,E02005659,Westone,0.622182786
East Midlands,E02005660,Billing & Riverside,0.637156704
East Midlands,E02005661,Eastfield,0.472770091
East Midlands,E02005662,Phippsville,0.585369578
East Midlands,E02005663,New Duston West,0.676130986
East Midlands,E02005664,Kingsley Park & Racecourse,0.541694801
East Midlands,E02005665,Little Billing,0.59292264
East Midlands,E02005666,King's Heath & Spencer,0.459997629
East Midlands,E02005667,Lodge Farm,0.589210998
East Midlands,E02005668,New Duston East,0.691556857
East Midlands,E02005669,Abington Vale,0.696711328
East Midlands,E02005670,Town Centre & Semilong,0.346114933
East Midlands,E02005671,Abington,0.467642019
East Midlands,E02005672,St Michael's Road,0.337604326
East Midlands,E02005673,Stornton & Sixfields,0.51364077
East Midlands,E02005674,Cliftonville & Rushmere,0.430871003
East Midlands,E02005675,Briar Hill & Hunsbury Hill,0.476746124
East Midlands,E02005676,Delapre,0.52293578
East Midlands,E02005677,"Cotton End, Brackmills & Hardingstone",0.489627014
East Midlands,E02005678,Upton & West Hunsbury,0.55464684
East Midlands,E02005679,East Hunsbury,0.594425416
East Midlands,E02005680,Wootton & Collingtree,0.607845489
East Midlands,E02005681,"Harpole, Kislingbury & Bugbrooke",0.698766882
East Midlands,E02005682,"Cogenhoe, Hackleton & Denton",0.690841336
East Midlands,E02005683,"Blisworth, Roade & Yardley Gobion",0.612656514
East Midlands,E02005684,Towcester West & Blakesley,0.661548806
East Midlands,E02005685,Towcester East & Paulerspury,0.650256754
East Midlands,E02005686,Middleton Cheney & Chipping Warden,0.667001507
East Midlands,E02005687,Silverstone & Syresham & Helmdon,0.659881513
East Midlands,E02005688,"Deanshanger, Potterspury & Old Stratford",0.614500259
East Midlands,E02005689,Brackley North,0.626216608
East Midlands,E02005690,Brackley South,0.578751989
East Midlands,E02005691,"Kings Sutton, Greatworth & Evenley",0.622564103
East Midlands,E02005692,"Finedon, Isham & Harrowden",0.673076923
East Midlands,E02005693,Rixon,0.507409941
East Midlands,E02005694,Redwell,0.66485458
East Midlands,E02005695,Victoria & Isebrook,0.487555066
East Midlands,E02005696,Queensway,0.51056
East Midlands,E02005697,Central Wellingborough,0.534213854
East Midlands,E02005698,Brickhill,0.575941882
East Midlands,E02005699,Croyland,0.513571943
East Midlands,E02005700,Earls Barton & Great Doddington,0.743273906
East Midlands,E02005701,"Irchester, Wollaston & Bozeat",0.666302169
East Midlands,E02005819,Stanton Hill & Skegby,0.630906572
East Midlands,E02005820,The Dales & South Skegby,0.701973565
East Midlands,E02005821,Huthwaite,0.559583274
East Midlands,E02005822,Sutton Forest Side & New Cross,0.53386976
East Midlands,E02005823,Sutton Central & Leamington,0.55536006
East Midlands,E02005824,Sutton St Mary's & Ashfields,0.641385488
East Midlands,E02005825,East Kirkby,0.613348248
East Midlands,E02005826,Kirkby Central,0.542503137
East Midlands,E02005827,Kirkby Larwood & Kingsway,0.628837603
East Midlands,E02005828,Annesley & Kirkby Woodhouse,0.623759889
East Midlands,E02005829,Selston,0.657057949
East Midlands,E02005830,Jacksdale & Underwoood,0.673250753
East Midlands,E02005831,Hucknall North & East,0.603846154
East Midlands,E02005832,Hucknall Town,0.5472
East Midlands,E02005833,West Hucknall,0.630564182
East Midlands,E02005834,Hucknall Westville,0.584854797
East Midlands,E02005835,"Harworth, Bircotes & Blyth",0.642002782
East Midlands,E02005836,"Clarborough, Beckingham & Misterton",0.687113905
East Midlands,E02005837,"Ranskill, Everton & Gringley",0.659577146
East Midlands,E02005838,Carlton & Langold,0.666949255
East Midlands,E02005839,Retford North,0.684045226
East Midlands,E02005840,Worksop North,0.636686391
East Midlands,E02005842,Retford East,0.653674195
