date,metric1,metric1_lowerCI,metric1_upperCI,metric2,metric2_lowerCI,metric2_upperCI,metric3 with a long label,metric3 with a long label_lowerCI,metric3 with a long label_upperCI
1,2.35,1.96,2.77,2.62,2.38,2.89,2.86,2.55,3.2
2,2.3,1.92,2.74,2.6,2.34,2.87,2.79,2.48,3.13
3,2.26,1.87,2.69,2.58,2.33,2.85,2.73,2.43,3.07
4,2.23,1.84,2.64,2.57,2.32,2.83,2.68,2.38,3.01
5,2.2,1.82,2.6,2.57,2.33,2.82,2.65,2.36,2.96
6,2.18,1.82,2.57,2.58,2.35,2.82,2.63,2.35,2.93
7,2.17,1.82,2.55,2.6,2.38,2.83,2.63,2.35,2.91
8,2.17,1.82,2.55,2.63,2.41,2.87,2.64,2.37,2.91
9,2.19,1.84,2.57,2.68,2.45,2.92,2.66,2.39,2.94
10,2.22,1.87,2.6,2.74,2.49,2.99,2.71,2.43,2.99
11,2.28,1.91,2.68,2.82,2.56,3.08,2.77,2.47,3.07
12,2.35,1.96,2.76,2.91,2.64,3.19,2.84,2.53,3.16
13,2.44,2.04,2.88,3.02,2.74,3.3,2.94,2.62,3.26
14,2.56,2.14,3,3.15,2.85,3.44,3.04,2.72,3.38
15,2.69,2.27,3.14,3.29,3,3.59,3.17,2.83,3.51
16,2.85,2.42,3.3,3.46,3.17,3.75,3.31,2.98,3.65
17,3.03,2.58,3.49,3.64,3.35,3.93,3.47,3.15,3.8
18,3.23,2.76,3.7,3.84,3.55,4.13,3.64,3.33,3.98
19,3.45,2.98,3.93,4.05,3.76,4.35,3.83,3.51,4.17
20,3.68,3.18,4.18,4.27,3.97,4.59,4.03,3.7,4.38
21,3.91,3.39,4.45,4.51,4.19,4.84,4.25,3.89,4.62
22,4.15,3.61,4.73,4.76,4.41,5.11,4.47,4.1,4.87
23,4.38,3.83,4.98,5.01,4.65,5.38,4.7,4.3,5.11
24,4.6,4.02,5.22,5.26,4.89,5.64,4.93,4.53,5.36
25,4.8,4.22,5.43,5.51,5.13,5.9,5.17,4.74,5.61
26,4.99,4.4,5.6,5.75,5.37,6.13,5.4,4.97,5.86
27,5.15,4.57,5.77,5.99,5.62,6.35,5.64,5.21,6.09
28,5.3,4.71,5.93,6.21,5.84,6.58,5.87,5.44,6.32
