Time,Sleep and rest,Personal care,Paid work,Travel,Unpaid household work,Unpaid care,Watching television,Entertainment and leisure,Education and study,Other,Series
21:50:00,15.8,8.7,2.8,1.9,4.1,1.2,40.5,21.7,0.6,2.5,Weekdays
22:00:00,27.6,9.7,2.1,2.3,3.8,1.1,31.4,19.0,0.2,2.7,Weekdays
22:10:00,31.4,7.9,2.1,2.2,3.5,1.2,29.7,19.2,0.2,2.7,Weekdays
22:20:00,35.3,7.0,2.0,2.3,2.6,1.1,27.3,19.1,0.4,3.0,Weekdays
22:30:00,43.9,7.7,1.6,2.1,2.9,1.1,20.5,16.9,0.6,2.7,Weekdays
22:40:00,48.0,6.8,1.6,1.8,2.9,0.9,18.5,16.3,0.7,2.7,Weekdays
22:50:00,52.2,6.0,1.6,1.2,2.5,0.9,17.1,15.2,0.6,2.5,Weekdays
23:00:00,64.5,5.3,1.4,1.4,2.1,0.4,11.1,10.9,0.6,2.3,Weekdays
23:10:00,68.1,4.3,1.4,1.5,1.9,0.4,9.8,9.7,0.6,2.2,Weekdays
23:20:00,71.4,3.8,1.4,1.2,2.0,0.4,8.7,8.3,0.5,2.3,Weekdays
23:30:00,77.8,3.2,1.3,0.8,1.3,0.4,6.6,6.2,0.4,2.0,Weekdays
23:40:00,80.4,2.0,1.3,0.8,1.1,0.3,5.7,6.1,0.3,2.0,Weekdays
23:50:00,82.2,1.4,1.3,0.7,1.2,0.3,5.0,5.6,0.3,2.0,Weekdays
0:00:00,87.0,1.5,1.0,0.3,0.6,0.2,2.9,4.2,0.2,2.2,Weekdays
0:10:00,88.4,1.2,0.9,0.3,0.4,0.3,2.4,3.7,0.2,2.2,Weekdays
0:20:00,89.7,1.1,0.9,0.2,0.5,0.2,2.2,3.0,0.2,2.0,Weekdays
0:30:00,90.8,1.1,1.0,0.2,0.3,0.2,1.6,2.7,0.2,1.9,Weekdays
0:40:00,91.9,0.8,1.0,0.1,0.3,0.2,1.5,2.4,0.1,1.8,Weekdays
0:50:00,92.0,0.8,1.0,0.2,0.3,0.2,1.5,2.2,0.1,1.8,Weekdays
1:00:00,93.1,0.6,1.0,0.2,0.0,0.3,1.2,1.8,0.0,1.6,Weekdays
1:10:00,93.4,0.5,1.0,0.2,0.1,0.2,1.2,1.8,0.0,1.7,Weekdays
1:20:00,93.5,0.4,1.0,0.2,0.1,0.1,1.0,2.0,0.0,1.7,Weekdays
1:30:00,94.0,0.4,1.1,0.0,0.0,0.1,1.0,1.7,0.0,1.7,Weekdays
1:40:00,94.1,0.4,1.0,0.0,0.0,0.1,1.0,1.6,0.0,1.7,Weekdays
1:50:00,94.3,0.4,1.0,0.0,0.1,0.1,1.0,1.5,0.0,1.6,Weekdays
2:00:00,95.0,0.2,0.9,0.1,0.1,0.2,0.7,1.1,0.0,1.7,Weekdays
2:10:00,94.9,0.4,0.9,0.1,0.1,0.2,0.6,1.1,0.0,1.7,Weekdays
2:20:00,95.2,0.3,0.9,0.1,0.1,0.1,0.6,1.0,0.0,1.7,Weekdays
2:30:00,95.9,0.3,0.9,0.1,0.1,0.1,0.4,0.6,0.0,1.6,Weekdays
2:40:00,95.8,0.4,0.9,0.0,0.1,0.1,0.4,0.6,0.0,1.6,Weekdays
2:50:00,95.8,0.3,0.9,0.0,0.1,0.1,0.4,0.6,0.0,1.7,Weekdays
3:00:00,95.9,0.3,0.9,0.0,0.2,0.1,0.3,0.5,0.0,1.8,Weekdays
3:10:00,95.9,0.3,0.8,0.1,0.2,0.1,0.3,0.4,0.0,1.8,Weekdays
3:20:00,95.6,0.6,0.8,0.0,0.3,0.2,0.3,0.3,0.0,1.8,Weekdays
3:30:00,95.3,0.7,0.8,0.0,0.3,0.3,0.2,0.4,0.0,2.0,Weekdays
3:40:00,95.0,0.7,0.8,0.0,0.3,0.3,0.2,0.6,0.0,2.0,Weekdays
3:50:00,94.8,0.9,0.8,0.0,0.4,0.2,0.2,0.6,0.0,2.0,Weekdays
