age,maleBar,femaleBar
<1,800,775
1,775,703
2,771,712
3,767,714
4,805,731
5,813,747
6,783,679
7,697,643
8,659,645
9,743,689
10,701,693
11,818,766
12,789,767
13,767,779
14,893,830
15,922,790
16,909,869
17,959,871
18,909,866
19,863,877
20,823,735
21,765,774
22,826,842
23,821,851
24,837,818
25,815,849
26,741,795
27,715,784
28,687,705
29,718,819
30,744,812
31,699,783
32,629,713
33,658,659
34,601,689
35,671,689
36,693,724
37,707,730
38,771,879
39,850,940
40,872,949
41,838,974
42,920,943
43,886,1004
44,1019,1074
45,1010,1109
46,949,1039
47,1079,1055
48,994,1082
49,1020,1061
50,965,950
51,922,1000
52,948,974
53,958,931
54,863,918
55,839,870
56,827,840
57,818,914
58,795,887
59,815,853
60,824,874
61,860,956
62,897,955
63,1035,1032
64,990,1088
65,792,868
66,857,859
67,745,798
68,736,724
69,668,729
70,679,668
71,633,756
72,671,737
73,602,698
74,574,624
75,528,641
76,479,551
77,443,513
78,440,546
79,402,474
80,366,529
81,350,478
82,308,426
83,258,393
84,257,339
85,168,350
86,168,350
87,168,350
88,168,350
89,168,350
90+,168,350
