age,femaleBar,maleBar
<1,282933,296055
1,295634,310301
2,301599,317434
3,306032,320330
4,315442,331189
5,321107,337582
6,317726,332834
7,321907,336955
8,334272,351858
9,339456,355003
10,337922,356597
11,335465,352255
12,334871,350387
13,332212,350411
14,323711,339496
15,313590,330524
16,315209,334252
17,311182,330865
18,308256,324799
19,319917,330301
20,319929,329370
21,330231,338097
22,342462,345066
23,350317,347977
24,358627,352375
25,359798,352107
26,370055,357353
27,379832,363058
28,388230,368108
29,399459,377283
30,410249,387679
31,407064,381724
32,409408,381229
33,413828,385229
34,403811,372364
35,400036,376410
36,395941,371338
37,388142,365390
38,385261,363598
39,384105,365169
40,393488,372710
41,385950,368248
42,363845,350507
43,341802,330754
44,341634,331468
45,346214,336594
46,354480,345229
47,359914,350581
48,374715,365326
49,390222,379370
50,399771,385521
51,390018,378728
52,399572,386717
53,397200,384198
54,398328,387701
55,399263,384855
56,398741,385216
57,389462,375674
58,380825,367810
59,368413,356110
60,354854,346541
61,337895,328541
62,332120,320308
63,321213,311104
64,307955,295467
65,294275,281753
66,288358,272253
67,288286,271693
68,279734,260946
69,274921,255277
70,275551,254130
71,282627,256837
72,286708,261227
73,311493,281632
74,308504,277941
75,233621,207744
76,245200,216053
77,224582,195462
78,209044,178766
79,179080,149225
80,168748,137721
81,171871,137720
82,163822,128775
83,152911,117553
84,141192,105770
85,128329,92262
86,115296,80786
87,102191,68638
88,92689,59523
89,82402,50372
90+,339160,160653
